Denominação;Categoria;Tamanho;Preço;Estoque;Valor em Estoque
Biquíni Estampado;Biquíni;G;119,90;4;479,60
Biquíni Estampado;Biquíni;M;119,90;5;599,50
Biquíni Estampado;Biquíni;P;119,90;5;599,50
Calça Jeans Skinny;Calça;G;149,90;4;599,60
Calça Jeans Skinny;Calça;M;149,90;6;899,40
Calça Jeans Skinny;Calça;P;149,90;4;599,60
Calça Jeans Slim;Calça;M;159,90;6;959,40
Calcinha Renda Fina;Calcinha;M;24,90;10;249,00
Calcinha Renda Fina;Calcinha;P;24,90;8;199,20
Calcinha Renda Fina;Calcinha;PP;24,90;8;199,20
Camisa Social Slim;Camisa;G;89,90;8;719,20
Camisa Social Slim;Camisa;M;89,90;8;719,20
Camisa Social Slim;Camisa;P;89,90;8;719,20
Camiseta Básica Algodão;Camiseta;G;39,90;10;399,00
Camiseta Básica Algodão;Camiseta;GG;39,90;8;319,20
Camiseta Básica Algodão;Camiseta;M;39,90;15;598,50
Camiseta Básica Algodão;Camiseta;P;39,90;12;478,80
Cueca Box Dry;Cueca;G;29,90;8;239,20
Cueca Box Dry;Cueca;M;29,90;10;299,00
Cueca Box Dry;Cueca;P;29,90;8;239,20
Moletom Canguru;Moletom;G;179,90;6;1079,40
Moletom Canguru;Moletom;M;179,90;6;1079,40
Moletom Canguru;Moletom;P;179,90;5;899,50
Short Moletom Comfort;Short;GG;69,90;4;279,60
Short Moletom Comfort;Short;M;69,90;7;489,30
Short Moletom Comfort;Short;P;69,90;8;559,20
Total;;;;191;14500,90
